"ac_id","ac_text","ac_type","annotator","timestamp"
"1","Limpieza de graffitis y remodelación de aluche","major claim","andres.segura","2022-12-13 19:15:57"
"2","Los vecinos de Aluche vemos día tras día como nuestro querido barrio está cada vez más sucio y descuidado.","major claim","andres.segura","2022-12-13 19:15:57"
"3","Graffitis y basura por todas partes, aceras rotas, baches en la carretera, zonas de jardines destrozadas.","major claim","andres.segura","2022-12-13 19:15:57"
"4","No a los ruidos. Reducir el número de decibelios permitido.","claim","andres.segura","2022-12-13 19:15:57"
"5","Estoy de acuerdo, es deplorable como se encuentra el barrio.","claim","andres.segura","2022-12-13 19:15:57"
"6","Buenos días a tod@s, la limpieza es una de las partes de una sociedad que tenemos que cuidar tod@s sin excepción, es tan importante como la seguridad de una ciudad o la sanidad para las personas, si tenemos insalubridad en una ciudad corremos mucho riesgo en todos los aspectos, os envío un enlace para que entréis a leerlo si os parece correcto votarlo, los puntos a tratar sobre la limpieza son bastante interesantes, no hace falta hacer inversiones exageradas, es más, todo ello está sobradamente probado y funciona, votar la idea si os parece bien para conseguir el máximo posible de votos para poder reaccionar frente a la limpieza de Madrid.","claim","andres.segura","2022-12-13 19:15:57"
"7","Apoyo la limpieza","claim","andres.segura","2022-12-13 19:15:57"
"8","pero los graffitis me gustan, no veo nada antihigiénico en ello.","premise","andres.segura","2022-12-13 19:15:57"
"9","Efectivamente, no estamos en contra de los graffittis, estamos en contra de las pintadas sin sentido.","claim","andres.segura","2022-12-13 19:15:57"
"10","Graffitis artísticos sí tienen cabida, el vandalismo no.","premise","andres.segura","2022-12-13 19:15:57"
"11","Si te gustan que los hagan en tu casa en tu portal y en tu coche.","claim","andres.segura","2022-12-13 19:15:57"
"12","Pero basta ya de tener Madrid echo una mierda por estos niñatos.","premise","andres.segura","2022-12-13 19:15:57"
"13","No claro que no,","claim","andres.segura","2022-12-13 19:15:57"
"14","pero en las paredes que no se usan o se usan para publicidad si.","premise","andres.segura","2022-12-13 19:15:57"
"15","Más que multas que no podrán pagar les haría realizar servicios comunitarios de limpieza.","claim","andres.segura","2022-12-13 19:15:57"
"16","A limpiar cacas de perro, chicles y colillas en paradas de autobús y estaciones! Así toman un poquito de conciencia.","premise","andres.segura","2022-12-13 19:15:57"
"17","Y para los graffitis que son arte restauración de paredes en solares y lugares públicos donde mostrar su habilidad.","premise","andres.segura","2022-12-13 19:15:57"
"18","Estoy de acuerdo sobre todo en que el barrio necesita mejoras en algunas calles y aceras y el tema de la limpieza y los contenedores.","claim","andres.segura","2022-12-13 19:15:57"
"19","Lo único que discrepo es en el tema de los graffitis, a mí sí están bien hechos me gustan, es arte urbano.","premise","andres.segura","2022-12-13 19:15:57"
"20","Algo que creo que beneficiaría ampliamente a la limpieza de la ciudad es el aumento maquinas limpiadoras de aceras de esas que son un pequeño vehículo como los de las maquinas de limpiar coches con cepillos, agua y jabón.","claim","andres.segura","2022-12-13 19:15:57"
"21","Debería haber en cada distrito toda una legión de ellas funcionando, es la forma de tener la ciudad limpia e higienica,","claim","andres.segura","2022-12-13 19:15:57"
"22","porque aquí no llueve apenas como puede ser en el norte.","premise","andres.segura","2022-12-13 19:15:57"
"23","Deberíamos proponer al Ayuntamiento algún tipo de medio de concienciación de los vecinos de cada barrio para que nos sintamos implicados en mantener esas mejoras que exigimos.","claim","andres.segura","2022-12-13 19:15:57"
"24","Yo por mi parte, lo siento, pero grafittis, ningúno.","claim","andres.segura","2022-12-13 19:15:57"
"25","A mi no tiene por que gustarme ver mi fachada pintada con algo que no he elegido.","premise","andres.segura","2022-12-13 19:15:57"
"26","Prefiero ver las calles con fachadas limpias tal y como se concibieron al construirlas.","claim","andres.segura","2022-12-13 19:15:57"
"27","No solo para Aluche sino para todos los barrios que sufran estos problemas.","claim","andres.segura","2022-12-13 19:15:57"
"28","Por eso apoyo tu propuesta pero referida también a los barrios del Centro, concretamente el de Malasaña.","premise","andres.segura","2022-12-13 19:15:57"
