"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","4","3","cause: condition","support","andres.segura","2022-12-01 17:40:28"
"2","5","6","elaboration: addition","support","andres.segura","2022-12-01 17:40:28"
"3","6","7","elaboration: addition","support","andres.segura","2022-12-01 17:40:28"
"4","8","9","cause: reason","support","andres.segura","2022-12-01 17:40:28"
"5","11","10","cause: condition","support","andres.segura","2022-12-01 17:40:28"
"6","12","13","elaboration: precision","support","andres.segura","2022-12-01 17:40:28"
"7","15","16","contrast: opposition","attack","andres.segura","2022-12-01 17:40:28"
"8","17","18","elaboration: precision","support","andres.segura","2022-12-01 17:40:28"
"9","19","20","cause: reason","support","andres.segura","2022-12-01 17:40:28"
"10","19","21","cause: reason","support","andres.segura","2022-12-01 17:40:28"
"11","21","22","elaboration: precision","support","andres.segura","2022-12-01 17:40:28"
"12","23","24","contrast: opposition","attack","andres.segura","2022-12-01 17:40:28"
"13","24","25","elaboration: precision","support","andres.segura","2022-12-01 17:40:28"
"14","25","26","elaboration: addition","support","andres.segura","2022-12-01 17:40:28"
"15","28","29","contrast: concession","support","andres.segura","2022-12-01 17:40:28"
"16","29","30","consequence: result","support","andres.segura","2022-12-01 17:40:28"
"17","30","31","elaboration: addition","support","andres.segura","2022-12-01 17:40:28"
"18","33","34","contrast: concession","support","andres.segura","2022-12-01 17:40:28"
"19","35","36","cause: reason","support","andres.segura","2022-12-01 17:40:28"
"20","38","39","consequence: result","support","andres.segura","2022-12-01 17:40:28"
"21","42","43","elaboration: addition","support","andres.segura","2022-12-01 17:40:28"
"22","44","45","elaboration: precision","support","andres.segura","2022-12-01 17:40:28"
"23","47","48","consequence: result","support","andres.segura","2022-12-01 17:40:28"
"24","48","49","elaboration: precision","support","andres.segura","2022-12-01 17:40:28"
"25","50","51","elaboration: precision","support","andres.segura","2022-12-01 17:40:28"
"26","53","54","consequence: result","support","andres.segura","2022-12-01 17:40:28"
"27","54","55","elaboration: addition","support","andres.segura","2022-12-01 17:40:28"
"28","57","58","clarification: restatement","support","andres.segura","2022-12-01 17:40:28"
"29","57","59","elaboration: addition","support","andres.segura","2022-12-01 17:40:28"
