"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","5","6","contrast: concession","attack","andres.segura","2022-12-01 17:05:03"
"2","11","12","cause: reason","support","andres.segura","2022-12-01 17:05:03"
"3","20","21","elaboration: addition","support","andres.segura","2022-12-01 17:05:03"
"4","26","27","cause: reason","support","andres.segura","2022-12-01 17:05:03"
"5","28","29","cause: reason","support","andres.segura","2022-12-01 17:05:03"
"6","30","31","elaboration: addition","support","andres.segura","2022-12-01 17:05:03"
"7","34","35","consequence: result","support","andres.segura","2022-12-01 17:05:03"
"8","37","38","cause: reason","support","andres.segura","2022-12-01 17:05:03"
"9","44","45","elaboration: precision","support","andres.segura","2022-12-01 17:05:03"
"10","49","50","cause: reason","support","andres.segura","2022-12-01 17:05:03"
"11","53","54","elaboration: addition","support","andres.segura","2022-12-01 17:05:03"
"12","54","55","elaboration: precision","support","andres.segura","2022-12-01 17:05:03"
"13","58","59","contrast: alternative","support","andres.segura","2022-12-01 17:05:03"
