"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","3","4","cause: reason","support","andres.segura","2022-12-13 18:55:37"
"2","5","6","elaboration: addition","support","andres.segura","2022-12-13 18:55:37"
"3","7","8","cause: reason","support","andres.segura","2022-12-13 18:55:37"
"4","11","12","elaboration: similarity","support","andres.segura","2022-12-13 18:55:37"
"5","17","18","consequence: result","support","andres.segura","2022-12-13 18:55:37"
"6","22","23","consequence: result","support","andres.segura","2022-12-13 18:55:37"
"7","24","25","contrast: concession","support","andres.segura","2022-12-13 18:55:37"
"8","28","29","consequence: result","support","andres.segura","2022-12-13 18:55:37"
"9","29","30","elaboration: precision","support","andres.segura","2022-12-13 18:55:37"
"10","30","31","cause: reason","support","andres.segura","2022-12-13 18:55:37"
"11","33","34","consequence: result","support","andres.segura","2022-12-13 18:55:37"
"12","33","35","elaboration: addition","support","andres.segura","2022-12-13 18:55:37"
"13","33","36","elaboration: addition","support","andres.segura","2022-12-13 18:55:37"
"14","38","39","elaboration: addition","support","andres.segura","2022-12-13 18:55:37"
"15","38","40","elaboration: addition","support","andres.segura","2022-12-13 18:55:37"
"16","42","43","elaboration: addition","support","andres.segura","2022-12-13 18:55:37"
"17","48","48","elaboration: addition","support","andres.segura","2022-12-13 18:55:37"
"18","48","49","contrast: alternative","support","andres.segura","2022-12-13 18:55:37"
"19","50","51","elaboration: addition","support","andres.segura","2022-12-13 18:55:37"
"20","50","52","elaboration: addition","support","andres.segura","2022-12-13 18:55:37"
"21","54","55","cause: condition","support","andres.segura","2022-12-13 18:55:37"
"22","56","57","elaboration: similarity","support","andres.segura","2022-12-13 18:55:37"
"23","58","59","cause: reason","support","andres.segura","2022-12-13 18:55:37"
"24","64","65","cause: reason","support","andres.segura","2022-12-13 18:55:37"
"25","64","66","cause: reason","support","andres.segura","2022-12-13 18:55:37"
"26","70","71","contrast: opposition","attack","andres.segura","2022-12-13 18:55:37"
"27","71","72","cause: reason","support","andres.segura","2022-12-13 18:55:37"
