"ar_id","ac_id1","ac_id2","rel_type","rel_intent","annotator","timestamp"
"1","9","10","elaboration: similarity","support","andres.segura","2022-12-15 21:14:11"
"2","9","11","cause: reason","support","andres.segura","2022-12-15 21:14:11"
"3","13","14","consequence: goal","support","andres.segura","2022-12-15 21:14:11"
"4","13","15","cause: reason","support","andres.segura","2022-12-15 21:14:11"
"5","15","16","elaboration: addition","support","andres.segura","2022-12-15 21:14:11"
"6","16","17","elaboration: similarity","support","andres.segura","2022-12-15 21:14:11"
"7","17","18","elaboration: precision","support","andres.segura","2022-12-15 21:14:11"
"8","19","20","consequence: explanation","support","andres.segura","2022-12-15 21:14:11"
"9","20","21","elaboration: precision","support","andres.segura","2022-12-15 21:14:11"
"10","19","22","elaboration: similarity","support","andres.segura","2022-12-15 21:14:11"
"11","22","23","elaboration: precision","support","andres.segura","2022-12-15 21:14:11"
"12","24","25","cause: reason","support","andres.segura","2022-12-15 21:14:11"
"13","25","26","elaboration: addition","support","andres.segura","2022-12-15 21:14:11"
"14","27","29","elaboration: precision","support","andres.segura","2022-12-15 21:14:11"
"15","27","30","elaboration: precision","support","andres.segura","2022-12-15 21:14:11"
"16","30","31","consequence: explanation","support","andres.segura","2022-12-15 21:14:11"
"17","31","32","clarification: restatement","support","andres.segura","2022-12-15 21:14:11"
"18","34","35","elaboration: precision","support","andres.segura","2022-12-15 21:14:11"
"19","36","37","elaboration: addition","support","andres.segura","2022-12-15 21:14:11"
"20","39","40","elaboration: addition","support","andres.segura","2022-12-15 21:14:11"
"21","45","46","cause: reason","support","andres.segura","2022-12-15 21:14:11"
"22","47","48","elaboration: similarity","support","andres.segura","2022-12-15 21:14:11"
"23","49","50","consequence: result","support","andres.segura","2022-12-15 21:14:11"
"24","49","51","elaboration: precision","support","andres.segura","2022-12-15 21:14:11"
